class_label,LHS,RHS
non-phishing,ILEHJNJFPDLMDEKNIAKCMENHCAAA.geege,barrera.org
non-phishing,96B7CA2C-BD1E-11D6-92D9-00039396ECF2,deersoft.com
non-phishing,008701c24a16$e3443830$0200a8c0,JMHALL
non-phishing,200210010801.g91813K15532,dogma.slashnull.org
non-phishing,1030629610.14240.TMDA,deepeddy.vircio.com
non-phishing,200210040800.g94806K08775,dogma.slashnull.org
non-phishing,200210020803.g92836K31829,dogma.slashnull.org
non-phishing,200210100804.g9A849K14146,dogma.slashnull.org
non-phishing,3D6CAD7B.6010800,permafrost.net
non-phishing,3D6556DC.5070408,permafrost.net
non-phishing,200210080800.g9880AK06028,dogma.slashnull.org
non-phishing,200210041802.g94I2nXP028567,conan.f2.com.au
non-phishing,ILEHJNJFPDLMDEKNIAKCOEINCAAA.geege,barrera.org
non-phishing,200210091843.OAA01268,hippolyta.crd.ge.com
non-phishing,200210030800.g9380KK19938,dogma.slashnull.org
non-phishing,OFEGLPGPCHPACFLJPAILOEICECAA.macarthy,iol.ie
non-phishing,20020905112205.0C81E16F21,example.com
non-phishing,200210070800.g9780xK23330,dogma.slashnull.org
non-phishing,200210010801.g9181YK15655,dogma.slashnull.org
non-phishing,DAV72xvjPkQTGpaoG1V00000fd0,hotmail.com
non-phishing,200210010800.g9180YK15354,dogma.slashnull.org
non-phishing,1034012428.1872.28.camel,AMD1800
non-phishing,D021E330-B488-11D6-B8E9-0030657C53EA,ianbell.com
non-phishing,000401c26de5$c0319b10$3201010a,nimitz
non-phishing,20020826141315.668E12FD84,server3.fastmail.fm
non-phishing,000801c26287$f2960460$0200a8c0,JMHALL
non-phishing,02ff01c25498$9695d840$640a000a,golden
non-phishing,1030401904.6628.TMDA,deepeddy.vircio.com
non-phishing,20020829160017.9E3C643F99,phobos.labs.netnoteinc.com
non-phishing,200210040800.g9480PK08797,dogma.slashnull.org
non-phishing,E17lzKx-0006yy-00,usw-pr-cvs1.sourceforge.net
non-phishing,20020902220538.BA80F9F8B9,belphegore.hughes-family.org
non-phishing,3D6E7347.9090304,sri.com
non-phishing,20020902155851.A22343,ie.suberic.net
non-phishing,200210020801.g9281LK31730,dogma.slashnull.org
non-phishing,200210040800.g9480eK08812,dogma.slashnull.org
non-phishing,Pine.LNX.4.33.0209091553450.32400-100000,hydrogen.leitl.org
non-phishing,20020904183605.A4666,nsk.yi.org
non-phishing,20020822220402.GA504,samosa.chappati.org
non-phishing,200210010801.g9181MK15614,dogma.slashnull.org
non-phishing,1033784731.25485.6.camel,localhost.localdomain
non-phishing,E17wYl4-0007wf-00,cpu59.osdn.com
non-phishing,006001c25523$9ab58980$f8642ad9,oemcomputer
non-phishing,3D89D273.EE040F95,endeavors.com
non-phishing,Pine.BSO.4.44.0209220330520.26559-100000,crank.slack.net
non-phishing,1030556128.7585.29.camel,avalon
non-phishing,200210080801.g98815K06124,dogma.slashnull.org
non-phishing,002001c25368$f39de270$7c640f0a,mfc.corp.mckee.com
non-phishing,KMENLMHDMGGFAAEMCCNKCEFGCCAA.bfrench,ematic.com
non-phishing,20021003110510.1c619b15.matthias,rpmforge.net
non-phishing,200210020803.g92839K31835,dogma.slashnull.org
non-phishing,200209250800.g8P80JC18053,dogma.slashnull.org
non-phishing,20020829142252.7b20caab.matthias,egwn.net
non-phishing,3D90A792.6070307,fluid.com
non-phishing,3D9FFE0A.20006,punkass.com
non-phishing,20020910055423.096E829409A,xent.com
non-phishing,200209261532.g8QFWBg25123,dogma.slashnull.org
non-phishing,20020828165132.34E98C44D,argote.ch
non-phishing,3D76977B.9010606,wirex.com
non-phishing,p05111a55b9b4e125dde5,[66.149.49.6]
non-phishing,21691.1030507901,bhuta
non-phishing,20020826154626.542CD43F99,phobos.labs.netnoteinc.com
non-phishing,3D9C23C5.9090203,leenx.co.za
non-phishing,Pine.BSO.4.44.0209231847230.29230-100000,crank.slack.net
non-phishing,1033651236.19916.1.camel,opus
non-phishing,200210020802.g9282pK31799,dogma.slashnull.org
non-phishing,20020822165508.1F95B3F24,milou.dyndns.org
non-phishing,Pine.BSO.4.44.0209181904110.19234-100000,crank.slack.net
non-phishing,3DA4DCC7.6060601,endeavors.com
non-phishing,200209290801.g8T81Ig03437,dogma.slashnull.org
non-phishing,20020202130844.32a8b78b.matthias,egwn.net
non-phishing,16550000.1012934680,spawn.se7en.org
non-phishing,3D6C95E3.4000308,corvil.com
non-phishing,E17wjQY-0001AG-00,usw-pr-cvs1.sourceforge.net
non-phishing,200210090800.g9980WK25172,dogma.slashnull.org
non-phishing,200210020802.g9282xK31809,dogma.slashnull.org
non-phishing,Pine.LNX.4.44.0208231610470.17440-100000,localhost.localdomain
non-phishing,m2znv5y9og.fsf,maya.dyndns.org
non-phishing,200210051256.03011.coy.krill,verizon.net
non-phishing,200209290801.g8T81Hg03431,dogma.slashnull.org
non-phishing,200210080801.g9881KK06164,dogma.slashnull.org
non-phishing,200210040800.g94804K08769,dogma.slashnull.org
non-phishing,200209270800.g8R80xg00774,dogma.slashnull.org
non-phishing,D79A56AD131896448D0860DEE07CBE1F3BADEB,med-core07.med.wayne.edu
non-phishing,200209240800.g8O80CC26581,dogma.slashnull.org
non-phishing,200209250800.g8P80OC18103,dogma.slashnull.org
non-phishing,200209240800.g8O80aC26628,dogma.slashnull.org
non-phishing,200210030803.g9383EK20111,dogma.slashnull.org
non-phishing,AMEPKEBLDJJCCDEJHAMIIECDFGAA.ejw,cse.ucsc.edu
non-phishing,3D893179.4020208,cse.ucsc.edu
non-phishing,1030544555.28815.TMDA,deepeddy.vircio.com
non-phishing,20020829112725.38902390.lars,unet.net.ph
non-phishing,Pine.LNX.4.33.0209170748460.14309-100000,hydrogen.leitl.org
non-phishing,E17r7cX-0002nn-00,cpu59.osdn.com
non-phishing,200210080800.g9880QK06043,dogma.slashnull.org
non-phishing,C37FB068-B5FB-11D6-A91E-00039396ECF2,deersoft.com
non-phishing,1032793126.23266.TMDA,deepeddy.vircio.com
non-phishing,E17texC-0002N7-01,cpu59.osdn.com
non-phishing,200210080800.g9880VK06078,dogma.slashnull.org
non-phishing,200209091921.g89JLgt02406,lin12.triumf.ca
non-phishing,3D64FFC4.5010908,perkel.com
non-phishing,200209261528.g8QFSNg24418,dogma.slashnull.org
non-phishing,m2elcknqe2.fsf,maya.dyndns.org
non-phishing,200209260801.g8Q81QC06423,dogma.slashnull.org
non-phishing,Pine.LNX.4.44.0208231140070.5240-100000,sparrow
non-phishing,001001c249e6$863c4e00$13cca341,networksonline.com
non-phishing,20020917172627.A1DBDC44D,argote.ch
non-phishing,200210090800.g9980vK25241,dogma.slashnull.org
non-phishing,1034084194.6615.4.camel,unagi.internal.techworks.ie
non-phishing,m2y99xlkcy.fsf,maya.dyndns.org
non-phishing,20021001121244.2d3a0154.matthias,egwn.net
non-phishing,EB0AF9F0-B5FC-11D6-A91E-00039396ECF2,deersoft.com
non-phishing,3D9876EE.2951E0DD,Golux.Com
non-phishing,ILEHJNJFPDLMDEKNIAKCAEDFCAAA.geege,barrera.org
non-phishing,200210010801.g91812K15529,dogma.slashnull.org
non-phishing,AMEPKEBLDJJCCDEJHAMIGEFKFFAA.ejw,cse.ucsc.edu
non-phishing,ac.2ce1f831.2aa9fd36,aol.com
non-phishing,200209300800.g8U80Yg21185,dogma.slashnull.org
non-phishing,20020923080924.27618d2b.hosting,j2solutions.net
non-phishing,200210080801.g98816K06139,dogma.slashnull.org
non-phishing,Pine.OSF.4.21.0209301357210.2546-100000,www.nauticom.net
non-phishing,1030048087.20291.TMDA,deepeddy.vircio.com
non-phishing,14220000.1012602017,spawn.se7en.org
non-phishing,m2hehgnr8y.fsf,maya.dyndns.org
non-phishing,3D6D1AB2.DEDDDC0C,email.uah.edu
non-phishing,3D869694.1060906,lig.net
non-phishing,D27C2881-B909-11D6-9880-00039344DDD6,ordersomewherechaos.com
non-phishing,200210090800.g9980YK25184,dogma.slashnull.org
non-phishing,200209032004.NAA06379,maltesecat
non-phishing,200209101443.g8AEhWS17947,localhost.localdomain
non-phishing,p05111a02b9b264038af0,[66.149.49.6]
non-phishing,016c01c26df9$27dbb670$0cb2fad8,DWM1
non-phishing,200209062025.NAA21491,maltesecat
non-phishing,1031225695.83349.5.camel,lerlaptop.lerctr.org
non-phishing,m23crnmvom.fsf,maya.dyndns.org
non-phishing,200210020802.g92826K31757,dogma.slashnull.org
non-phishing,B98ABFA4.1F87%dh,uptime.at
non-phishing,3D880744.1050300,alumni.rice.edu
non-phishing,20020930215046.108ba76f.matthias,egwn.net
non-phishing,200210010802.g91820K15738,dogma.slashnull.org
non-phishing,Pine.LNX.4.44.0209050731510.10379-100000,burgers.bubbanfriends.org
non-phishing,200210090800.g9980YK25181,dogma.slashnull.org
non-phishing,126299908004.20020922120323,magnesium.net
non-phishing,200209091219.58498,malte.stretz.eu.org
non-phishing,200210050800.g9580WK02535,dogma.slashnull.org
non-phishing,200209261527.g8QFRrg24252,dogma.slashnull.org
non-phishing,Pine.LNX.4.44.0209041626430.4768-100000,localhost.localdomain
non-phishing,20020912130550.1275,192.168.1.3
non-phishing,E17kxXD-0006Oi-01,cpu59.osdn.com
non-phishing,17298.1030500260,munnari.OZ.AU
non-phishing,20021009181801.65d72cbc.matthias,rpmforge.net
non-phishing,200209270800.g8R80Wg00553,dogma.slashnull.org
non-phishing,200210010801.g91812K15526,dogma.slashnull.org
non-phishing,001001c249e6$863c4e00$13cca341,networksonline.com
non-phishing,200210070801.g97810K23333,dogma.slashnull.org
non-phishing,200209091905.g89J5tH02285,lin12.triumf.ca
non-phishing,3D9C760E.3D49B993,Golux.Com
non-phishing,200210050800.g9580tK02598,dogma.slashnull.org
non-phishing,20020903211855.GF2102,darkridge.com
non-phishing,E17rU62-00061F-00,cpu59.osdn.com
non-phishing,DAV48S97K5Nvz3bGlab00007ca3,hotmail.com
non-phishing,200209270800.g8R80Xg00561,dogma.slashnull.org
non-phishing,Pine.LNX.4.44.0209111507050.31122-100000,isolnetsux.techmonkeys.net
non-phishing,200208221853.g7MIrtV21872,mail.banirh.com
non-phishing,Pine.BSO.4.44.0209191048220.7567-100000,crank.slack.net
non-phishing,0FF9F9D21D89554C8FF8930FFD39BD03A3F587,mir.eWare.com
non-phishing,E17jch9-00063J-00,usw-pr-cvs1.sourceforge.net
non-phishing,200209300802.g8U82Bg21420,dogma.slashnull.org
non-phishing,EA7C77F97CC73F4AAC856A4595DF34E21265EE,swilnts801.wil.fusa.com
non-phishing,200210010801.g9181NK15623,dogma.slashnull.org
non-phishing,E17iBiq-0005K9-00,proton.pathname.com
non-phishing,200210080800.g9880iK06099,dogma.slashnull.org
non-phishing,20020830224207.53DEBEA0A,petting-zoo.net
non-phishing,200210010801.g9181uK15731,dogma.slashnull.org
non-phishing,3D6CCCC5.5000608,ee.ed.ac.uk
non-phishing,3D75E4DC.9090107,algroup.co.uk
non-phishing,3D653874.8010204,barrera.org
non-phishing,Pine.LNX.4.44.0209060242410.13901-100000,isolnetsux.techmonkeys.net
non-phishing,JHEPKCEMGPKFFDHHDDKDKELEFGAA.bill,wstoddard.com
non-phishing,m28z2amswg.fsf,maya.dyndns.org
non-phishing,Pine.LNX.4.44.0208221606260.675-100000,isolnetsux.techmonkeys.net
non-phishing,ILEHJNJFPDLMDEKNIAKCGEODCAAA.geege,barrera.org
non-phishing,1030037019.7938.TMDA,deepeddy.vircio.com
non-phishing,20021002041852.14c612cb.kilroy,kamakiriad.com
non-phishing,ak32ff+rh64,eGroups.com
non-phishing,200209190241.g8J2fY3o001629,orion.dwf.com
non-phishing,200209250803.g8P83jC18360,dogma.slashnull.org
non-phishing,016f01c2590a$f9a6abf0$640a000a,golden
non-phishing,3D64FCD2.20705.6447320,localhost
non-phishing,ILEHJNJFPDLMDEKNIAKCIEHKCAAA.geege,barrera.org
non-phishing,20021006123628.0d199281.matthias,rpmforge.net
non-phishing,200210040800.g9480QK08803,dogma.slashnull.org
non-phishing,200209270801.g8R813g00801,dogma.slashnull.org
non-phishing,200210030801.g9381xK20016,dogma.slashnull.org
non-phishing,5.1.0.14.2.20020911114003.02e170f0,frodo.hserus.net
non-phishing,ILEHJNJFPDLMDEKNIAKCOEDCCAAA.geege,barrera.org
non-phishing,200209261529.g8QFTQg24665,dogma.slashnull.org
non-phishing,ILEHJNJFPDLMDEKNIAKCEEDACAAA.geege,barrera.org
non-phishing,200210080801.g9881LK06173,dogma.slashnull.org
non-phishing,EEE172E4-BB63-11D6-8C04-00039344DDD6,ordersomewherechaos.com
non-phishing,00a301c2700e$4e258510$0201a8c0,homediet
non-phishing,011e01c25779$96151aa0$640a000a,golden
non-phishing,200210010801.g9181EK15591,dogma.slashnull.org
non-phishing,3D9AA650.2000909,eecs.berkeley.edu
non-phishing,200209261532.g8QFWlg25210,dogma.slashnull.org
non-phishing,Pine.BSO.4.44.0208231824140.16631-100000,crank.slack.net
non-phishing,0208220909120B.13454,gilmanhunt
non-phishing,1034034330.14068.144.camel,avalon
non-phishing,200210080801.g9881LK06175,dogma.slashnull.org
non-phishing,ILEHJNJFPDLMDEKNIAKCEEAHCAAA.geege4,bellsouth.net
non-phishing,3D6A5DD7.1030008,barrera.org
non-phishing,Pine.LNX.4.33.0209012101200.3683-100000,watcher.mithral.com
non-phishing,20020825123447.9168758A4D,email5.lga2.nytimes.com
non-phishing,47DAEAB9-B5F5-11D6-A91E-00039396ECF2,deersoft.com
non-phishing,200209261529.g8QFT1g24570,dogma.slashnull.org
non-phishing,200210010801.g9181CK15573,dogma.slashnull.org
non-phishing,200208221336.g7MDaWX26868,hobbit.linuxworks.com.au.nospam
non-phishing,Pine.LNX.4.44.0209292136580.11482-100000,urgent.rug.ac.be
non-phishing,Pine.LNX.4.33.0209162104390.14309-100000,hydrogen.leitl.org
non-phishing,m2lm6r3r2b.fsf,maya.dyndns.org
non-phishing,200210050800.g9580qK02588,dogma.slashnull.org
non-phishing,200210040800.g9480OK08793,dogma.slashnull.org
non-phishing,1032881662.24435.8.camel,avalon
non-phishing,aki2j5+dc0j,eGroups.com
non-phishing,200210010801.g9181GK15594,dogma.slashnull.org
non-phishing,1034194128.19400.49.camel,wintermute.sr.unh.edu
non-phishing,p05111a35b9aee996db06,[66.149.49.6]
non-phishing,15753.55633.535730.28416,onceler.kciLink.com
non-phishing,200210090800.g9980XK25179,dogma.slashnull.org
non-phishing,20020823191002.GK12303,kluge.net
non-phishing,200210080801.g9881MK06181,dogma.slashnull.org
non-phishing,200209171940.MAA26187,maltesecat
non-phishing,200210090801.g99812K25254,dogma.slashnull.org
non-phishing,200210050800.g9580pK02576,dogma.slashnull.org
non-phishing,200210100804.g9A84OK14178,dogma.slashnull.org
non-phishing,Pine.BSO.4.44.0209231859360.29230-100000,crank.slack.net
non-phishing,1034027845.2296.163.camel,bobcat.ods.org
non-phishing,Pine.LNX.4.44.0208281025350.10592-100000,dirac1.thphys.may.ie
non-phishing,200210100804.g9A84AK14158,dogma.slashnull.org
non-phishing,AMEPKEBLDJJCCDEJHAMIIEGNFGAA.ejw,cse.ucsc.edu
non-phishing,yf2sn0yk4x6.fsf,proton.pathname.com
non-phishing,200210080801.g98814K06121,dogma.slashnull.org
non-phishing,20020829102708.23F6343F99,phobos.labs.netnoteinc.com
non-phishing,3D98B507.1080608,fluid.com
non-phishing,E17yN8Y-0006Mp-01,cpu59.osdn.com
non-phishing,200210060800.g9680aK15248,dogma.slashnull.org
non-phishing,Pine.BSO.4.44.0210021244080.25424-100000,crank.slack.net
non-phishing,5.1.0.14.2.20020905150722.054fb3c8,rescomp.stanford.edu
non-phishing,4226.1034187399,tatanka
non-phishing,20020906175623.D985EA4C92,belphegore.hughes-family.org
non-phishing,200210080801.g9881MK06184,dogma.slashnull.org
non-phishing,200210050800.g9580oK02573,dogma.slashnull.org
non-phishing,3D6D3763.3060300,lehigh.edu
non-phishing,20154.1030531468,munnari.OZ.AU
non-phishing,B397C4F18189C34B9BD6C5F82461FCBE1B48C1,usilms27.ca.com
non-phishing,200210012330.47704.eh,mad.scientist.com
non-phishing,200210030800.g93807K19924,dogma.slashnull.org
non-phishing,1031676608.17878.8.camel,athlon.ckloiber.com
non-phishing,200210060800.g96808K15190,dogma.slashnull.org
non-phishing,20021009080049.5620bea1.matthias_haase,bennewitz.com
non-phishing,yf2znuge4sq.fsf,proton.pathname.com
non-phishing,200210070800.g9780gK23272,dogma.slashnull.org
non-phishing,20021008093721.4a3ed251.matthias,rpmforge.net
non-phishing,200209261529.g8QFTog24758,dogma.slashnull.org
non-phishing,3D9879E9.7020708,permafrost.net
non-phishing,200209260801.g8Q81RC06429,dogma.slashnull.org
non-phishing,200210070800.g9780eK23251,dogma.slashnull.org
non-phishing,20020206161427.494ecf0b.matthias,egwn.net
non-phishing,200210070800.g9780mK23287,dogma.slashnull.org
non-phishing,3D6BFF48.8050306,cunniffe.net
non-phishing,200210070800.g9780EK23215,dogma.slashnull.org
non-phishing,32BAD95E-D5B6-11D6-AD37-0030657C53EA,ianbell.com
non-phishing,CD1F3D770345B24D8ACC7824F0B2D815059594,athens.itsmobile.com
non-phishing,3D650A2D.1000301,dcu.ie
non-phishing,20020828165937.B53E9C44D,argote.ch
non-phishing,008201c25ee5$1285de40$640a000a,golden
non-phishing,3D656F6E.3050504,fluid.com
non-phishing,200210080801.g9881MK06181,dogma.slashnull.org
non-phishing,200210010802.g91822K15743,dogma.slashnull.org
non-phishing,200209260801.g8Q81QC06420,dogma.slashnull.org
non-phishing,Pine.BSO.4.44.0209061531530.32013-100000,crank.slack.net
non-phishing,1740000.1012898468,spawn.se7en.org
non-phishing,1031945265.2215.2.camel,traveller
non-phishing,200210100800.g9A803K13841,dogma.slashnull.org
non-phishing,200210030801.g9381MK19987,dogma.slashnull.org
non-phishing,20020201140356.A3308,Warthog.cg.shawcable.net
non-phishing,fd014188eb21d97217e935c50f3e76c43d8f970a,watchguard.com
non-phishing,20020902142652.GF13700,ibu.internal.qu.to
non-phishing,NEBBKLEDELIODOCJHLPCKEJNNAAA.mgm,starlingtech.com
non-phishing,1034133799.26329.80.camel,ckk.rdu.example.com
non-phishing,200209300800.g8U80Xg21183,dogma.slashnull.org
non-phishing,80CE2C46294CD61198BA00508BADCA830FD384,mis-exchange.mv.timesten.com
non-phishing,200209250800.g8P80KC18067,dogma.slashnull.org
non-phishing,AMEPKEBLDJJCCDEJHAMIIEGPFGAA.ejw,cse.ucsc.edu
non-phishing,000b01c25e71$813bf1e0$c809a8c0,imagery.net
non-phishing,EEE172E4-BB63-11D6-8C04-00039344DDD6,ordersomewherechaos.com
non-phishing,DAV46ixjnzi95HfqR7700007013,hotmail.com
non-phishing,Pine.LNX.4.33.0209021612290.7820-100000,watcher.mithral.com
non-phishing,200209261528.g8QFSBg24406,dogma.slashnull.org
non-phishing,E17jyHY-0004Ja-00,gadolinium.btinternet.com
non-phishing,031001c25a8f$9faa5a80$d900000a,paul01
non-phishing,200210050800.g9580uK02614,dogma.slashnull.org
non-phishing,ILEHJNJFPDLMDEKNIAKCGEFBCAAA.geege,barrera.org
non-phishing,200209290801.g8T81Ng03458,dogma.slashnull.org
non-phishing,Pine.BSO.4.44.0208261442530.5449-100000,crank.slack.net
non-phishing,DAV586rsI7MixUt4KuM00002a80,hotmail.com
non-phishing,200210030802.g9382jK20076,dogma.slashnull.org
non-phishing,200210100804.g9A84AK14152,dogma.slashnull.org
non-phishing,20020829163653.A4149,rover.vipul.net
non-phishing,200209250803.g8P83hC18342,dogma.slashnull.org
non-phishing,3D8F58EA.5050307,permafrost.net
non-phishing,200209240800.g8O80AC26557,dogma.slashnull.org
non-phishing,18104609941.20021003232319,magnesium.net
non-phishing,3D7CCC7F.F8EBCAE,Golux.Com
non-phishing,1031493547.12768.TMDA,omega.paradigm-omega.net
non-phishing,200209191956.55148.alex,netWindows.org
non-phishing,200209270801.g8R810g00783,dogma.slashnull.org
non-phishing,3D6AD645.7000709,barrera.org
non-phishing,Pine.GSO.4.44.0208281721030.7994-100000,info.uah.edu
non-phishing,200210040800.g9480nK08849,dogma.slashnull.org
non-phishing,200210070800.g9780hK23275,dogma.slashnull.org
non-phishing,200209250803.g8P83iC18351,dogma.slashnull.org
non-phishing,Pine.LNX.4.33.0209021619291.7820-100000,watcher.mithral.com
non-phishing,20021009083602.6a8bcf32.matthias_haase,bennewitz.com
non-phishing,Pine.BSO.4.44.0208241054000.16631-100000,crank.slack.net
non-phishing,20020204143329.B2626,pihlaja.kotilo
non-phishing,200209300801.g8U81eg21351,dogma.slashnull.org
non-phishing,E17yga0-0003VG-00,tungsten.btinternet.com
non-phishing,20021001151127.5ef5b77d.matthias,rpmforge.net
non-phishing,200209270800.g8R80wg00768,dogma.slashnull.org
non-phishing,25104.1031918270,dimebox
non-phishing,ILEHJNJFPDLMDEKNIAKCOEEACAAA.geege,barrera.org
non-phishing,3D64FC22.4040409,perkel.com
non-phishing,200209021718.NAA12734,blackcomb.panasas.com
non-phishing,200210050800.g9580nK02563,dogma.slashnull.org
non-phishing,m2znv5y9og.fsf,maya.dyndns.org
non-phishing,3DA28982.6020709,punkass.com
non-phishing,200210070801.g97812K23341,dogma.slashnull.org
non-phishing,a05111b01b9c86e0595a6,[192.168.2.138]
non-phishing,20020827182650.GC23883,fiachra.ucd.ie
non-phishing,a05200a01b9c80b70e2c2,[209.103.203.17]
non-phishing,DAV26BcLJjiOivDY1FF00000bce,hotmail.com
non-phishing,16289760343.20021007164541,magnesium.net
non-phishing,200210070801.g97813K23343,dogma.slashnull.org
non-phishing,5.1.0.14.2.20021009103526.02ec2050,frodo.hserus.net
non-phishing,KMENLMHDMGGFAAEMCCNKOEFDCCAA.bfrench,ematic.com
non-phishing,01da01c24ef6$585238a0$023c7bc0,A700
